danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,artist_genres,track_name,artist_name,album,user
0.346,0.768,-5.695,0.0377,0.00603,0.38,0.0244,0.532,169.492,0NWPxcsf5vdjdiFUI8NgkP,spotify:track:0NWPxcsf5vdjdiFUI8NgkP,"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",Hey Joe,Jimi Hendrix,Are You Experienced,Mimi
0.498,0.658,-9.651,0.0273,0.000291,0.39,0.0656,0.719,152.061,0ugYzRHD8zpMdb9ROOGtdg,spotify:track:0ugYzRHD8zpMdb9ROOGtdg,"['philly indie', 'pov: indie']",Snot,Alex G,Beach Music,Mimi
0.63,0.774,-6.217,0.12,0.195,0.0985,0.111,0.446,158.006,4U4H6N5Gwbc4pA0NhByEpq,spotify:track:4U4H6N5Gwbc4pA0NhByEpq,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",The End,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager (Explicit Version),Mimi
0.422,0.804,-5.955,0.0669,0.0177,0.000461,0.1,0.312,119.621,25tFjJ6tVaDrGOw4SaT5BR,spotify:track:25tFjJ6tVaDrGOw4SaT5BR,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Transcending,Red Hot Chili Peppers,One Hot Minute (Deluxe Edition),Mimi
0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,0wJoRiX5K5BxlqZTolB2LD,spotify:track:0wJoRiX5K5BxlqZTolB2LD,"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",Purple Haze,Jimi Hendrix,Are You Experienced,Mimi
0.33,0.342,-14.09,0.0404,0.734,0.671,0.129,0.0795,142.95,0GRBFjza23Im7Xb16c9AaK,spotify:track:0GRBFjza23Im7Xb16c9AaK,"['album rock', 'classic rock', 'hard rock', 'rock']",No Quarter - Remaster,Led Zeppelin,Houses of the Holy (Remaster),Mimi
0.759,0.782,-6.975,0.0741,0.000589,0.0,0.35,0.507,131.04,1eRBW1HcyM1zPlxO26cScZ,spotify:track:1eRBW1HcyM1zPlxO26cScZ,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",The Recipe - Bonus Track,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Mimi
0.759,0.756,-8.145,0.266,0.0903,2.36e-06,0.265,0.613,87.059,4G3dZN9o3o2X4VKwt4CLts,spotify:track:4G3dZN9o3o2X4VKwt4CLts,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'west coast rap']",Passin' Me By,The Pharcyde,Bizarre Ride II The Pharcyde,Mimi
0.749,0.856,-5.833,0.235,0.107,0.0,0.745,0.402,103.773,1KQymTxNJfWk6vCD5ywKW2,spotify:track:1KQymTxNJfWk6vCD5ywKW2,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",Da Art of Storytellin' (Pt. 1),Outkast,Aquemini,Mimi
0.472,0.366,-12.595,0.0286,0.15,0.312,0.0837,0.171,127.163,5HNCy40Ni5BZJFw1TKzRsC,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",Comfortably Numb,Pink Floyd,The Wall,Mimi
0.811,0.428,-10.728,0.221,0.0122,0.317,0.344,0.653,80.962,0INtJm8gCJKtNaAYQNVlpZ,spotify:track:0INtJm8gCJKtNaAYQNVlpZ,[],"You Don't Love Me (No, No, No) - Extended Mix",Dawn Penn,"No, No, No",Mimi
0.284,0.875,-6.069,0.0422,0.00752,0.000461,0.402,0.595,75.009,1L94M3KIu7QluZe63g64rv,spotify:track:1L94M3KIu7QluZe63g64rv,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'permanent wave', 'rock']",Alive,Pearl Jam,Ten,Mimi
0.412,0.658,-12.051,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,1Y373MqadDRtclJNdnUXVc,spotify:track:1Y373MqadDRtclJNdnUXVc,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",Paranoid - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),Mimi
0.731,0.807,-6.492,0.1,0.181,0.751,0.319,0.765,114.759,2bLqfJjuC5syrsgDsZfGmn,spotify:track:2bLqfJjuC5syrsgDsZfGmn,"['dance pop', 'pop', 'pop rap']",The Way I Are,Timbaland,Shock Value,Mimi
0.548,0.778,-6.367,0.0551,0.279,0.0247,0.0484,0.969,120.37,7HIG9Utsra6sL79nA1Tn0y,spotify:track:7HIG9Utsra6sL79nA1Tn0y,"['album rock', 'british invasion', 'classic rock', 'rock']",Honky Tonk Women,The Rolling Stones,Forty Licks,Mimi
0.879,0.401,-7.632,0.453,0.00539,3.66e-06,0.0688,0.78,94.508,4R8XY2fcKNW4zNug9Y1WLJ,spotify:track:4R8XY2fcKNW4zNug9Y1WLJ,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",Busta's Lament,A Tribe Called Quest,The Love Movement,Mimi
0.271,0.553,-9.526,0.0472,0.044,0.0096,0.0999,0.433,86.762,6hu1f1cXSw7OAqhpSQ2zDy,spotify:track:6hu1f1cXSw7OAqhpSQ2zDy,"['album rock', 'classic rock', 'hard rock', 'rock']",Dazed and Confused - 1990 Remaster,Led Zeppelin,Led Zeppelin,Mimi
0.83,0.698,-6.517,0.077,0.224,1.02e-06,0.191,0.595,132.99,09riz9pAPJyYYDVynE5xxY,spotify:track:09riz9pAPJyYYDVynE5xxY,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",1000 Blunts,$uicideboy$,"Sing Me a Lullaby, My Sweet Temptation",Mimi
0.431,0.373,-15.142,0.0346,0.389,0.728,0.143,0.253,128.153,2ctvdKmETyOzPb2GiJJT53,spotify:track:2ctvdKmETyOzPb2GiJJT53,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",Breathe (In the Air),Pink Floyd,The Dark Side of the Moon,Mimi
0.803,0.668,-9.546,0.328,0.0431,0.0,0.448,0.695,93.996,5VEKqp658KuE7uIgTQDyVT,spotify:track:5VEKqp658KuE7uIgTQDyVT,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']","The Chase, Part II",A Tribe Called Quest,Midnight Marauders,Mimi
0.582,0.986,-4.492,0.0585,0.00391,9.25e-05,0.789,0.744,144.958,3iRoXGFrF8O0jTul6LAmus,spotify:track:3iRoXGFrF8O0jTul6LAmus,[],Under Your Spell,Snow Strippers,April Mixtape 3,Mimi
0.419,0.713,-8.867,0.0975,0.0685,0.541,0.291,0.555,186.788,6ywnTBL62OTd8HUaztJizb,spotify:track:6ywnTBL62OTd8HUaztJizb,"['alternative hip hop', 'detroit hip hop', 'hip hop', 'instrumental hip hop']",Time: The Donut of the Heart,J Dilla,Donuts,Mimi
0.69,0.729,-5.819,0.221,1.7e-05,0.0431,0.152,0.357,91.376,2CPturRUlpvirYr7VpkXCV,spotify:track:2CPturRUlpvirYr7VpkXCV,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",It Ain't Hard to Tell,Nas,Illmatic,Mimi
0.574,0.274,-13.553,0.0286,0.0111,0.786,0.123,0.111,125.652,5Q6Xzp25aXYxNJ4B6vBkcf,spotify:track:5Q6Xzp25aXYxNJ4B6vBkcf,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",Luna - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),Mimi
0.367,0.609,-11.221,0.0457,0.301,0.0243,0.196,0.443,149.386,60TYdVs6TWIsAJ1MPRdv59,spotify:track:60TYdVs6TWIsAJ1MPRdv59,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'progressive rock', 'rock']",Then Came the Last Days of May,Blue Öyster Cult,Blue Oyster Cult,Mimi
0.468,0.858,-9.639,0.0543,0.166,0.000304,0.0807,0.526,77.987,16VhHtoaOjTU4AJBNSBNQ1,spotify:track:16VhHtoaOjTU4AJBNSBNQ1,"['album rock', 'classic rock', 'hard rock', 'rock']","Hey, Hey, What Can I Do - Remaster",Led Zeppelin,Coda (Deluxe Edition),Mimi
0.65,0.686,-5.198,0.0314,0.513,0.000189,0.138,0.497,124.019,2Wk8vEamlVBBalBi24NnU1,spotify:track:2Wk8vEamlVBBalBi24NnU1,"['philly indie', 'pov: indie']",Sarah,Alex G,Trick,Mimi
0.622,0.661,-5.04,0.346,0.153,0.0,0.634,0.596,188.255,3QtvqDE3siGOPPZns8aLz8,spotify:track:3QtvqDE3siGOPPZns8aLz8,"['hip hop', 'pittsburgh rap', 'rap']",Gees (feat. ScHoolboy Q),Mac Miller,Watching Movies with the Sound Off,Mimi
0.73,0.54,-9.046,0.045,0.362,0.00334,0.0419,0.977,109.76,16EKGMPGE3f6X3p18CjtkB,spotify:track:16EKGMPGE3f6X3p18CjtkB,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",The Thing,Pixies,Velouria,Mimi
0.174,0.742,-5.93,0.0485,0.00181,0.281,0.198,0.36,163.378,2enPRFda84VE2wtI8c86Uf,spotify:track:2enPRFda84VE2wtI8c86Uf,"['experimental pop', 'indie surf', 'pov: indie']",Always Forever,Cults,Static,Mimi
0.693,0.467,-9.558,0.043,0.0497,0.452,0.107,0.402,105.955,36TbBJ7mLPOZMAYs0p4mxb,spotify:track:36TbBJ7mLPOZMAYs0p4mxb,"['philly indie', 'pov: indie']",Mary,Alex G,Trick,Mimi
0.775,0.795,-4.171,0.206,0.148,0.00119,0.0411,0.796,95.212,4UZlEcQmkAeh4mYokk8TNs,spotify:track:4UZlEcQmkAeh4mYokk8TNs,"['east coast hip hop', 'queens hip hop']",Let's Ride,Q-Tip,Amplified,Mimi
0.569,0.881,-5.873,0.365,0.111,0.0,0.655,0.811,148.067,0jFxJ1US3dmwQn7DJi269h,spotify:track:0jFxJ1US3dmwQn7DJi269h,"['hip hop', 'pittsburgh rap', 'rap']",Fight the Feeling (feat. Kendrick Lamar & Iman Omari),Mac Miller,Macadelic,Mimi
0.47,0.859,-3.663,0.0537,0.000362,0.00691,0.142,0.17,124.01,70L6nHORQsblY813yNqUR3,spotify:track:70L6nHORQsblY813yNqUR3,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",Cherry Waves,Deftones,Saturday Night Wrist,Mimi
0.859,0.824,-7.207,0.0512,0.0242,0.66,0.205,0.882,124.015,1jytlwkECf6MuDfhrJI1XM,spotify:track:1jytlwkECf6MuDfhrJI1XM,"['australian house', 'house']",Stop It - Edit,FISHER,Oi Oi EP,Mimi
0.58,0.454,-10.877,0.0285,0.0381,0.714,0.108,0.612,93.906,2ArusOBCO5xbJV6QlreriJ,spotify:track:2ArusOBCO5xbJV6QlreriJ,"['alternative pop', 'melancholia']",23 Minutes in Brussels,Luna,Penthouse,Mimi
0.735,0.749,-3.766,0.0874,0.371,0.0,0.47,0.373,93.718,4z0PnuB07fxtVZZRWsCfxb,spotify:track:4z0PnuB07fxtVZZRWsCfxb,"['hip hop', 'pittsburgh rap', 'rap']",100 Grandkids,Mac Miller,GO:OD AM,Mimi
0.774,0.884,-7.568,0.0499,0.0309,0.136,0.0252,0.867,125.011,3UW1WvaTGaHYAPXL8XCWeN,spotify:track:3UW1WvaTGaHYAPXL8XCWeN,"['bass house', 'house', 'tech house', 'uk dance', 'uk tech house']",Sundown,Biscits,Sundown,Mimi
0.548,0.691,-13.553,0.0369,0.015,0.106,0.144,0.667,137.145,4KfSdst7rW39C0sfhArdrz,spotify:track:4KfSdst7rW39C0sfhArdrz,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock']",Barracuda,Heart,Little Queen,Mimi
0.51,0.505,-13.053,0.0344,0.342,0.96,0.117,0.318,114.532,7o2AeQZzfCERsRmOM86EcB,spotify:track:7o2AeQZzfCERsRmOM86EcB,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",Xtal,Aphex Twin,Selected Ambient Works 85-92,Mimi
0.695,0.907,-7.177,0.0319,0.00882,0.194,0.116,0.676,120.026,50dTzPsnl8OKc3BvudvQtt,spotify:track:50dTzPsnl8OKc3BvudvQtt,['grave wave'],Black Nails,Pictureplane,Thee Physical,Mimi
0.757,0.868,-9.326,0.062,0.411,0.00221,0.355,0.815,138.923,4OTw5splgMdlYklwHMHxLK,spotify:track:4OTw5splgMdlYklwHMHxLK,"['album rock', 'british invasion', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock']",Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,Distant Light (Expanded Edition),Mimi
0.822,0.479,-15.962,0.271,0.719,4.42e-05,0.124,0.72,92.461,7AgMX97ljLm9BzszyyXEYZ,spotify:track:7AgMX97ljLm9BzszyyXEYZ,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",Jazz (We've Got),A Tribe Called Quest,The Low End Theory,Mimi
0.77,0.58,-8.393,0.247,0.519,0.000127,0.233,0.753,144.072,741UUVE2kuITl0c6zuqqbO,spotify:track:741UUVE2kuITl0c6zuqqbO,"['hip pop', 'pop', 'queens hip hop', 'rap']",Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],Mimi
0.334,0.554,-9.366,0.0374,0.0185,0.359,0.344,0.191,179.997,1BFzO8coSKQHqAqOqcWNkE,spotify:track:1BFzO8coSKQHqAqOqcWNkE,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']",So Heavy I Fell Through the Earth - Art Mix,Grimes,Miss Anthropocene (Deluxe Edition),Mimi
